name,cuisine,address,lat,lng,ambience,can_i_eat,service,taste,would_return,expense_worth,notes
Hokkaido Ramen Santouka,Ramen,"2626 NE Village Ln, Seattle, WA 98105",47.66241,-122.2989,,,,,,,
Nana's Green Tea,Matcha/Tea,"1007 Stewart St, Seattle, WA 98101",47.61612,-122.33293,,,,,,,
Agua Verde,Mexican,"1303 NE Boat St, Seattle, WA 98105",47.65158,-122.31433,,,,,,,
Rondo,Japanese,"224 Broadway E, Seattle, WA 98102",47.62074,-122.32064,,,,,,,
Como,Italian,"1270 Carillon Point, Kirkland, WA 98033",47.65689,-122.20768,,,,,,,
Pagliacci Pizza,Pizza,"1245 NE Campus Pkwy, Seattle, WA 98105",47.65631,-122.31503,,,,,,,
The BoB,Korean,"4131 University Way NE, Seattle, WA 98105",47.65777,-122.3134,,,,,,,
Korean Tofu House,Korean,"4142 Brooklyn Ave NE, Seattle, WA 98105",47.65812,-122.31402,,,,,,,
Araya's Place Vegan Thai,Vegan Thai,"5240 University Way NE, Seattle, WA 98105",47.66777,-122.31269,,,,,,,
Kin Len Thai Night Bites,Thai,"3517 Fremont Ave N, Seattle, WA 98103",47.65124,-122.35013,,,,,,,
Veggie Grill,Vegan,"2681 NE University Village St, Seattle, WA 98105",47.66289,-122.29849,,,,,,,
Krua Thai,Thai,"2515 NE 55th St, Seattle, WA 98105",47.66836,-122.29977,,,,,,,
Elemental Pizza,Pizza,"2634 NE University Village St, Seattle, WA 98105",47.66347,-122.29926,,,,,,,
Tian Fu,Sichuan,"4500 9th Ave NE, Seattle, WA 98105",47.6617,-122.31811,,,,,,,
Jade Garden,Dim Sum,"424 7th Ave S, Seattle, WA 98104",47.59847,-122.32359,,,,,,,
Chung Chun Rice Hot Dog,Korean Corn Dog,"502 S King St, Seattle, WA 98104",47.59847,-122.32744,,,,,,,
bb.q Chicken UW,Korean Fried Chicken,"4223 University Way NE, Seattle, WA 98105",47.65904,-122.31337,,,,,,,
Pasta & Co,Italian Deli,"4622 26th Ave NE, Seattle, WA 98105",47.66241,-122.29969,,,,,,,
Ba Bar,Vietnamese,"2685 NE 46th St, Seattle, WA 98105",47.6618,-122.29802,,,,,,,
Isarn Thai Soul Kitchen,Thai,"170 Lake St S, Kirkland, WA 98033",47.67433,-122.20585,,,,,,,
24hrs Cuisine of India,Indian,"4737 Roosevelt Way NE, Seattle, WA 98105",47.6643,-122.31771,,,,,,,
Beecher's Handmade Cheese,Cheese,"1600 Pike Pl, Seattle, WA 98101",47.60958,-122.34182,,,,,,,
Haidilao,Hot Pot,"188 106th Ave NE, Bellevue, WA 98004",47.61178,-122.19846,,,,,,,
